condition,band,channel_set,feature,analysis,n,held_r_median,held_r_q05,held_r_q95,same_direction_rate,held_p_lt_0_05_rate,both_p_lt_0_05_rate,held_lps_plus_wst_r_median,train_r_median
EO,theta,posterior,bfocus_ratio,strict_split,111,0.33837074042162457,0.1805606798775085,0.46517675773963507,1.0,0.732,0.484,0.3407936302288438,0.33389325296297906
EO,theta,posterior,bfocus_zdiff,strict_split,111,0.3549743051214568,0.17487158968533278,0.4890583231566172,1.0,0.784,0.556,0.35490599472999595,0.3526868786636336
EC,theta,posterior,bfocus_ratio,strict_split,131,0.0012508358353210754,-0.15629253256072356,0.15625237022927294,0.216,0.016,0.006,0.0015206764452591112,-0.020407906799549923
EC,theta,posterior,bfocus_zdiff,strict_split,131,-0.0043936802121397195,-0.15954099141236408,0.1679195264500158,0.218,0.002,0.0,-0.003830091504197428,0.0032420486683635615
